(0, 3, 0.0007412543761816685)
(1, 3, 0.0008127745146427849)
(2, 4, 0.0008795222513031981)
(3, 8, 0.0008549567862692754)
(4, 4, 0.0009410019248566773)
(5, 4, 0.0009281160488316765)
(6, 5, 0.0012758151946696474)
(7, 4, 0.0007706333022474563)
(8, 3, 0.005257824163766981)
(9, 10, 0.0010849935507625196)
(10, 4, 0.0008700340712201424)
(11, 5, 0.0011272413518996478)
(12, 4, 0.0007633009072732001)
(13, 4, 0.0005324927693295819)
(14, 1, 0.001175017640985833)
(15, 5, 0.001174909264360691)
(16, 4, 0.0016724135984892425)
(17, 9, 0.024397567123474264)
(18, 6, 0.0011308493837761625)
(19, 3, 0.002641615769944212)
(20, 5, 0.0014984064668717113)
(21, 3, 0.0014332882575130406)
(22, 7, 0.0008995982892300709)
(23, 5, 0.0009154073181937994)
(24, 8, 0.000727551661207041)
(25, 2, 0.0012593454742175067)
(26, 10, 0.00122565005345349)
(27, 4, 0.0027702205991012746)
(28, 7, 0.0006284613614665152)
(29, 9, 0.0012998201985666203)
(30, 7, 0.0006982360288843759)
(31, 4, 0.0015061787168790801)
(32, 8, 0.002034156616216999)
(33, 10, 0.0012615548429909449)
(34, 7, 0.001217314465129595)
(35, 4, 0.0012966398535761627)
(36, 8, 0.001701985167374726)
(37, 3, 0.006795270163022168)
(38, 2, 0.0009444853063829356)
(39, 5, 0.0012369959765979627)
(40, 8, 0.0008138839963303117)
(41, 9, 0.0023731942498578153)
(42, 9, 0.0009506152447448782)
(43, 10, 0.0019190403483396387)
(44, 4, 0.0008332638846453054)
(45, 8, 0.0008993789402198991)
(46, 10, 0.0027207804548935073)
(47, 6, 0.0007297721586939532)
(48, 3, 0.0011623936522205053)
(49, 3, 0.0006851489291841647)
(50, 1, 0.002851292398685876)
(51, 3, 0.0009193803963402736)
(52, 3, 0.001417948909510852)
(53, 7, 0.0010120460582887078)
(54, 3, 0.007568363107836699)
(55, 10, 0.009711131378368688)
(56, 8, 0.001089379653368926)
(57, 4, 0.001522387663603554)
(58, 9, 0.001393489203036621)
(59, 3, 0.0010384112561554392)
(60, 4, 0.0014859728837048477)
(61, 4, 0.0017511656350164702)
(62, 8, 0.0011449945217513972)
(63, 3, 0.0022128139829411635)
(64, 3, 0.002157783664964719)
(65, 2, 0.000994613348471764)
(66, 5, 0.0008489283048676016)
(67, 3, 0.0018313768047645731)
(68, 10, 0.0008164547662736849)
(69, 8, 0.0013702791694068144)
(70, 6, 0.0007288124266273147)
(71, 4, 0.0017174407995185614)
(72, 10, 0.0019757584291943357)
(73, 6, 0.0006312496857317202)
(74, 5, 0.0012095614981592815)
(75, 10, 0.0026954707675144736)
(76, 8, 0.0008163959679713479)
(77, 3, 0.0010223569822803134)
(78, 10, 0.0007507282309243069)
(79, 5, 0.0009068730016073007)
(80, 3, 0.0014302759838810191)
(81, 10, 0.0007098130812062012)
(82, 6, 0.000756181611768708)
(83, 7, 0.0015068474393224143)
(84, 7, 0.0032673985874208085)
(85, 8, 0.0005112371294356103)
